local_document,official_title_or_identification,authority,official_url,confidence,recommended_action,notes
2021-9-5.pdf,"חוזר הצטרפות לקרן פנסיה או לקופת גמל – תיקון; חוזר גופים מוסדיים 2021-9-5",רשות שוק ההון,https://www.gov.il/he/pages/pension-provident-fund,high,reingest_after_manual_attachment_check,Official gov.il page contains the circular attachment.
regulation_tl_2015-17167.pdf,"תקנות הפיקוח על שירותים פיננסיים (קופות גמל) (קופת גמל בניהול אישי) (תיקון), התשע״ו-2015; record 2015-17167",רשות שוק ההון,https://www.gov.il/he/collectors/legalinfo?OfficeId=809fb74a-67c7-4c4b-a8ad-86dd24786117,medium,metadata_only_until_direct_file_found,Legacy direct gov.il URL is dead; collection page is official but not direct file.
חוק הפיקוח על שירותים פיננסיים (קופות גמל), תשסה-2005.pdf,"חוק הפיקוח על שירותים פיננסיים (קופות גמל), התשס״ה-2005; law record 2000505",הכנסת,https://main.knesset.gov.il/apps/legislation/main/laws/2000505,high,metadata_only_current_law_registry,Use registry for current consolidated law; do not replace local historical copy blindly.
סיווג הפקדות חרבות ברזל קרן השתלמות 2024.pdf,"חוק לתיקון פקודת מס הכנסה (מס׳ 273), התשפ״ד-2024",רשות המסים,https://www.gov.il/he/pages/law273,medium,manual_review,Subject match but local document appears operational guidance rather than the statute itself.
סיווג הפקדות משרתי מילואים 2024-קבוצתי.pdf,"תיקון מס׳ 273 לפקודת מס הכנסה; הפקדות מילואים 2024",רשות המסים,https://www.gov.il/he/pages/law273,medium,manual_review,"The local group/operational form may not equal the official publication."
עוסק תמת משפחתון.pdf,"מבחני תמיכה לסבסוד שכר לימוד במעון או במשפחתון; נספח 4 – אישור הכנסות לעצמאי",משרד העבודה,https://www.gov.il/he/pages/daycare-subsidie,medium,manual_review,Local filename is operational and not an exact official title.
תיקון 12 לחוק הפיקוח 2015.pdf,"חוק הפיקוח על שירותים פיננסיים (קופות גמל) (תיקון מס׳ 12), התשע״ה-2015",הכנסת,https://fs.knesset.gov.il/20/law/20_lsr_313645.pdf,high,reingest_pdf_page_aware,Official PDF; published 05-Aug-2015.
תיקון 173-רצף זכויות פיצויים-2011.pdf,"חוזר מס הכנסה מס׳ 4/2011 – תיקון 173 לפקודת מס הכנסה: רצף פיצויים",רשות המסים,,low,do_not_replace_without_official_source,Only non-official mirror located; keep current file and mark provenance unresolved.
תקנות הפיקוח על שירותים פיננסיים (קופות גמל) (קופת גמל בניהול אישי), תשע-2009.pdf,"תקנות הפיקוח על שירותים פיננסיים (קופות גמל) (קופת גמל בניהול אישי), התש״ע-2009",הכנסת/רשות שוק ההון,https://www.gov.il/he/pages/regulation_0059,medium,metadata_only_until_direct_file_found,Official policy page; Knesset secondary-law item 2135039.
תקנות מס הכנסה (כללים לאישור ולניהול קופות גמל), תשכד-1964.pdf,"תקנות מס הכנסה (כללים לאישור ולניהול קופות גמל), התשכ״ד-1964",המוסד לביטוח לאומי,https://www.btl.gov.il/Laws1/02_0103_100022.pdf,high,reingest_pdf_page_aware,Government archival PDF; original publication K"ת 1583.
תקנות הפיקוח על שירותים פיננסיים (קופות גמל) (העברת כספים בין קופות גמל), תשסח-2008.pdf,"תקנות הפיקוח על שירותים פיננסיים (קופות גמל) (העברת כספים בין קופות גמל), התשס״ח-2008",הכנסת,https://main.knesset.gov.il/apps/legislation/main/laws/2000505,medium,metadata_only_until_final_text_found,Official registry secondary-law item 2133955; linked committee DOC is not final consolidated text.
חוק פיקוח על שירותים פיננסיים קופות גמל 2015.pdf,"חוק הפיקוח על שירותים פיננסיים (קופות גמל), התשס״ה-2005",הכנסת,https://main.knesset.gov.il/apps/legislation/main/laws/2000505,high,mark_as_possible_duplicate,"2015 in filename appears a compilation/version date."
תיקון 15.pdf,"חוק הפיקוח על שירותים פיננסיים (קופות גמל) (תיקון מס׳ 15), התשע״ו-2016",הכנסת,https://fs.knesset.gov.il/20/law/20_lsr_343169.pdf,high,reingest_pdf_page_aware,Official PDF; published 07-Jun-2016.
חוק הפיקוח על שירותים פיננסיים (קופות גמל), התשסה–2005.docx,"חוק הפיקוח על שירותים פיננסיים (קופות גמל), התשס״ה-2005",הכנסת,https://fs.knesset.gov.il/16/law/16_lsr_299984.pdf,high,reingest_pdf_page_aware_and_mark_duplicate,Original enactment PDF; likely duplicate/alternate rendition of local PDF.
